Month,Year,Country,AvgTemperature
1,1995,Albania,-99.0
1,1995,Algeria,51.41935483870968
1,1995,Argentina,73.35161290322581
1,1995,Australia,71.87161290322581
1,1995,Austria,31.86774193548387
1,1995,Bahamas,71.50967741935484
1,1995,Bahrain,63.38709677419355
1,1995,Bangladesh,17.393548387096775
1,1995,Barbados,78.74193548387096
1,1995,Belarus,23.338709677419356
1,1995,Belgium,39.832258064516125
1,1995,Belize,77.25862068965517
1,1995,Benin,81.31935483870969
1,1995,Bermuda,65.66774193548387
1,1995,Bolivia,47.73225806451613
1,1995,Brazil,76.7741935483871
1,1995,Bulgaria,28.241935483870968
1,1995,Burundi,27.396774193548385
1,1995,Canada,19.368709677419357
1,1995,Central African Republic,31.370967741935484
1,1995,China,37.24322580645161
1,1995,Colombia,54.13225806451613
1,1995,Congo,73.9258064516129
1,1995,Costa Rica,67.20645161290322
1,1995,Croatia,-99.0
1,1995,Cuba,68.98333333333333
1,1995,Cyprus,1.8870967741935478
1,1995,Czech Republic,29.348387096774196
1,1995,Denmark,31.383870967741935
1,1995,Dominican Republic,-93.28064516129032
1,1995,Egypt,56.599999999999994
1,1995,Equador,60.15483870967742
1,1995,Ethiopia,60.229032258064514
1,1995,Finland,26.406451612903226
1,1995,France,43.29677419354839
1,1995,Gabon,-30.75172413793103
1,1995,Gambia,74.16774193548386
1,1995,Georgia,38.42903225806452
1,1995,Germany,-15.776612903225805
1,1995,Greece,51.10645161290322
1,1995,Guatemala,-62.13225806451613
1,1995,Guinea,5.8677419354838705
1,1995,Guinea-Bissau,-23.916129032258063
1,1995,Guyana,-99.0
1,1995,Haiti,29.15666666666667
1,1995,Honduras,69.97096774193548
1,1995,Hong Kong,61.877419354838715
1,1995,Hungary,30.141935483870967
1,1995,Iceland,28.54516129032258
1,1995,India,66.96854838709677
1,1995,Indonesia,57.9
1,1995,Ireland,40.806451612903224
1,1995,Israel,56.53548387096774
1,1995,Italy,39.11451612903225
1,1995,Ivory Coast,79.91612903225807
1,1995,Japan,35.115053763440855
1,1995,Jordan,47.380645161290325
1,1995,Kazakhstan,14.04516129032258
1,1995,Kenya,27.45483870967742
1,1995,Kuwait,57.49677419354839
1,1995,Laos,75.70322580645161
1,1995,Latvia,26.6
1,1995,Lebanon,58.50322580645161
1,1995,Macedonia,-4.596666666666667
1,1995,Madagascar,70.28064516129032
1,1995,Malawi,64.02580645161291
1,1995,Malaysia,80.64516129032258
1,1995,Mauritania,70.6258064516129
1,1995,Mexico,31.244086021505375
1,1995,Mongolia,-5.45483870967742
1,1995,Morocco,53.096774193548384
1,1995,Mozambique,80.01612903225806
1,1995,Myanmar (Burma),-99.0
1,1995,Namibia,50.10322580645161
1,1995,Nepal,-1.1266666666666665
1,1995,New Zealand,67.01612903225806
1,1995,Nicaragua,-99.0
1,1995,Nigeria,72.34193548387097
1,1995,North Korea,23.69677419354839
1,1995,Norway,21.448387096774194
1,1995,Oman,-99.0
1,1995,Pakistan,57.25
1,1995,Panama,80.78387096774195
1,1995,Peru,74.78064516129032
1,1995,Philippines,78.1032258064516
1,1995,Poland,28.883870967741935
1,1995,Portugal,54.45161290322581
1,1995,Qatar,64.59032258064516
1,1995,Romania,27.970967741935485
1,1995,Russia,23.453225806451613
1,1995,Saudi Arabia,59.23225806451613
1,1995,Senegal,70.16774193548386
1,1995,Serbia-Montenegro,27.748387096774195
1,1995,Sierra Leone,-99.0
1,1995,Singapore,80.35161290322581
1,1995,Slovakia,30.751612903225805
1,1995,South Africa,69.48064516129033
1,1995,South Korea,25.9741935483871
